Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
14.04.2023 05:15:00;14.04.2023 05:29:59;0,144;;;
14.04.2023 05:30:00;14.04.2023 05:44:59;0,14;;;
14.04.2023 05:45:00;14.04.2023 05:59:59;0,167;;;
14.04.2023 06:00:00;14.04.2023 06:14:59;0,202;;;
14.04.2023 06:15:00;14.04.2023 06:29:59;0,183;;;
14.04.2023 06:30:00;14.04.2023 06:44:59;0,325;;;
14.04.2023 06:45:00;14.04.2023 06:59:59;0,202;;;
14.04.2023 07:00:00;14.04.2023 07:14:59;0,206;;;
14.04.2023 07:15:00;14.04.2023 07:29:59;0,197;;;
14.04.2023 07:30:00;14.04.2023 07:44:59;0,194;;;
14.04.2023 07:45:00;14.04.2023 07:59:59;0,182;;;
14.04.2023 08:00:00;14.04.2023 08:14:59;0,175;;;
14.04.2023 08:15:00;14.04.2023 08:29:59;0,162;;;
14.04.2023 08:30:00;14.04.2023 08:44:59;0,166;;;
14.04.2023 08:45:00;14.04.2023 08:59:59;0,282;;;
14.04.2023 09:00:00;14.04.2023 09:14:59;0,177;;;
14.04.2023 09:15:00;14.04.2023 09:29:59;0,158;;;
14.04.2023 09:30:00;14.04.2023 09:44:59;0,149;;;
14.04.2023 09:45:00;14.04.2023 09:59:59;0,141;;;
14.04.2023 10:00:00;14.04.2023 10:14:59;0,133;;;
14.04.2023 10:15:00;14.04.2023 10:29:59;0,112;;;
14.04.2023 10:30:00;14.04.2023 10:44:59;0,188;;;
14.04.2023 10:45:00;14.04.2023 10:59:59;0,101;;;
14.04.2023 11:00:00;14.04.2023 11:14:59;0,057;;;
14.04.2023 11:15:00;14.04.2023 11:29:59;0,021;;;
14.04.2023 11:30:00;14.04.2023 11:44:59;0,019;;;
14.04.2023 11:45:00;14.04.2023 11:59:59;0,04;;;
14.04.2023 12:00:00;14.04.2023 12:14:59;0,001;;;
14.04.2023 12:15:00;14.04.2023 12:29:59;0,006;;;
14.04.2023 12:30:00;14.04.2023 12:44:59;0,012;;;
14.04.2023 12:45:00;14.04.2023 12:59:59;0,007;;;
14.04.2023 13:00:00;14.04.2023 13:14:59;0,327;;;
14.04.2023 13:15:00;14.04.2023 13:29:59;0,181;;;
14.04.2023 13:30:00;14.04.2023 13:44:59;0,037;;;
14.04.2023 13:45:00;14.04.2023 13:59:59;0,047;;;
14.04.2023 14:00:00;14.04.2023 14:14:59;0,154;;;
14.04.2023 14:15:00;14.04.2023 14:29:59;0,02;;;
14.04.2023 14:30:00;14.04.2023 14:44:59;0,229;;;
14.04.2023 14:45:00;14.04.2023 14:59:59;0,34;;;
14.04.2023 15:00:00;14.04.2023 15:14:59;0,261;;;
14.04.2023 15:15:00;14.04.2023 15:29:59;0,017;;;
14.04.2023 15:30:00;14.04.2023 15:44:59;0,055;;;
14.04.2023 15:45:00;14.04.2023 15:59:59;0,106;;;
14.04.2023 16:00:00;14.04.2023 16:14:59;0,001;;;
14.04.2023 16:15:00;14.04.2023 16:29:59;0,001;;;
14.04.2023 16:30:00;14.04.2023 16:44:59;0,011;;;
14.04.2023 16:45:00;14.04.2023 16:59:59;0,034;;;
14.04.2023 17:00:00;14.04.2023 17:14:59;0,009;;;
14.04.2023 17:15:00;14.04.2023 17:29:59;0;;;
14.04.2023 17:30:00;14.04.2023 17:44:59;0,007;;;
14.04.2023 17:45:00;14.04.2023 17:59:59;0;;;
14.04.2023 18:00:00;14.04.2023 18:14:59;0;;;
14.04.2023 18:15:00;14.04.2023 18:29:59;0,002;;;
14.04.2023 18:30:00;14.04.2023 18:44:59;0,052;;;
14.04.2023 18:45:00;14.04.2023 18:59:59;0,334;;;
14.04.2023 19:00:00;14.04.2023 19:14:59;0,36;;;
14.04.2023 19:15:00;14.04.2023 19:29:59;0,241;;;
14.04.2023 19:30:00;14.04.2023 19:44:59;0,173;;;
14.04.2023 19:45:00;14.04.2023 19:59:59;0,164;;;
14.04.2023 20:00:00;14.04.2023 20:14:59;0,182;;;
14.04.2023 20:15:00;14.04.2023 20:29:59;0,176;;;
14.04.2023 20:30:00;14.04.2023 20:44:59;0,155;;;
14.04.2023 20:45:00;14.04.2023 20:59:59;0,144;;;
14.04.2023 21:00:00;14.04.2023 21:14:59;0,143;;;
14.04.2023 21:15:00;14.04.2023 21:29:59;0,15;;;
14.04.2023 21:30:00;14.04.2023 21:44:59;0,146;;;
14.04.2023 21:45:00;14.04.2023 21:59:59;0,153;;;
14.04.2023 22:00:00;14.04.2023 22:14:59;0,16;;;
14.04.2023 22:15:00;14.04.2023 22:29:59;0,148;;;
14.04.2023 22:30:00;14.04.2023 22:44:59;0,144;;;
14.04.2023 22:45:00;14.04.2023 22:59:59;0,166;;;
14.04.2023 23:00:00;14.04.2023 23:14:59;0,167;;;
14.04.2023 23:15:00;14.04.2023 23:29:59;0,136;;;
14.04.2023 23:30:00;14.04.2023 23:44:59;0,125;;;
14.04.2023 23:45:00;14.04.2023 23:59:59;0,128;;;
15.04.2023 00:00:00;15.04.2023 00:14:59;0,14;;;
15.04.2023 00:15:00;15.04.2023 00:29:59;0,127;;;
15.04.2023 00:30:00;15.04.2023 00:44:59;0,13;;;
15.04.2023 00:45:00;15.04.2023 00:59:59;0,129;;;
15.04.2023 01:00:00;15.04.2023 01:14:59;0,136;;;
15.04.2023 01:15:00;15.04.2023 01:29:59;0,122;;;
15.04.2023 01:30:00;15.04.2023 01:44:59;0,129;;;
15.04.2023 01:45:00;15.04.2023 01:59:59;0,138;;;
15.04.2023 02:00:00;15.04.2023 02:14:59;0,131;;;
15.04.2023 02:15:00;15.04.2023 02:29:59;0,123;;;
15.04.2023 02:30:00;15.04.2023 02:44:59;0,121;;;
15.04.2023 02:45:00;15.04.2023 02:59:59;0,142;;;
15.04.2023 03:00:00;15.04.2023 03:14:59;0,138;;;
15.04.2023 03:15:00;15.04.2023 03:29:59;0,119;;;
15.04.2023 03:30:00;15.04.2023 03:44:59;0,124;;;
15.04.2023 03:45:00;15.04.2023 03:59:59;0,135;;;
15.04.2023 04:00:00;15.04.2023 04:14:59;0,135;;;
15.04.2023 04:15:00;15.04.2023 04:29:59;0,125;;;
15.04.2023 04:30:00;15.04.2023 04:44:59;0,127;;;
15.04.2023 04:45:00;15.04.2023 04:59:59;0,134;;;
15.04.2023 05:00:00;15.04.2023 05:14:59;0,13;;;
15.04.2023 05:15:00;15.04.2023 05:29:59;0,134;;;
15.04.2023 05:30:00;15.04.2023 05:44:59;0,149;;;
15.04.2023 05:45:00;15.04.2023 05:59:59;0,145;;;
15.04.2023 06:00:00;15.04.2023 06:14:59;0,137;;;
15.04.2023 06:15:00;15.04.2023 06:29:59;0,135;;;
15.04.2023 06:30:00;15.04.2023 06:44:59;0,152;;;
15.04.2023 06:45:00;15.04.2023 06:59:59;0,148;;;
15.04.2023 07:00:00;15.04.2023 07:14:59;0,126;;;
15.04.2023 07:15:00;15.04.2023 07:29:59;0,117;;;
15.04.2023 07:30:00;15.04.2023 07:44:59;0,193;;;
15.04.2023 07:45:00;15.04.2023 07:59:59;0,174;;;
15.04.2023 08:00:00;15.04.2023 08:14:59;0,189;;;
15.04.2023 08:15:00;15.04.2023 08:29:59;0,165;;;
15.04.2023 08:30:00;15.04.2023 08:44:59;0,277;;;
15.04.2023 08:45:00;15.04.2023 08:59:59;0,055;;;
15.04.2023 09:00:00;15.04.2023 09:14:59;0,039;;;
15.04.2023 09:15:00;15.04.2023 09:29:59;0,005;;;
15.04.2023 09:30:00;15.04.2023 09:44:59;0;;;
15.04.2023 09:45:00;15.04.2023 09:59:59;0;;;
15.04.2023 10:00:00;15.04.2023 10:14:59;0;;;
15.04.2023 10:15:00;15.04.2023 10:29:59;0;;;
15.04.2023 10:30:00;15.04.2023 10:44:59;0,455;;;
