Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
02.11.2023 21:30:00;02.11.2023 21:44:59;0,053;;;
02.11.2023 21:45:00;02.11.2023 21:59:59;0,059;;;
02.11.2023 22:00:00;02.11.2023 22:14:59;0,049;;;
02.11.2023 22:15:00;02.11.2023 22:29:59;0,055;;;
02.11.2023 22:30:00;02.11.2023 22:44:59;0,041;;;
02.11.2023 22:45:00;02.11.2023 22:59:59;0,038;;;
02.11.2023 23:00:00;02.11.2023 23:14:59;0,046;;;
02.11.2023 23:15:00;02.11.2023 23:29:59;0,038;;;
02.11.2023 23:30:00;02.11.2023 23:44:59;0,044;;;
02.11.2023 23:45:00;02.11.2023 23:59:59;0,038;;;
03.11.2023 00:00:00;03.11.2023 00:14:59;0,027;;;
03.11.2023 00:15:00;03.11.2023 00:29:59;0,045;;;
03.11.2023 00:30:00;03.11.2023 00:44:59;0,041;;;
03.11.2023 00:45:00;03.11.2023 00:59:59;0,034;;;
03.11.2023 01:00:00;03.11.2023 01:14:59;0,044;;;
03.11.2023 01:15:00;03.11.2023 01:29:59;0,029;;;
03.11.2023 01:30:00;03.11.2023 01:44:59;0,035;;;
03.11.2023 01:45:00;03.11.2023 01:59:59;0,047;;;
03.11.2023 02:00:00;03.11.2023 02:14:59;0,034;;;
03.11.2023 02:15:00;03.11.2023 02:29:59;0,041;;;
03.11.2023 02:30:00;03.11.2023 02:44:59;0,031;;;
03.11.2023 02:45:00;03.11.2023 02:59:59;0,031;;;
03.11.2023 03:00:00;03.11.2023 03:14:59;0,051;;;
03.11.2023 03:15:00;03.11.2023 03:29:59;0,034;;;
03.11.2023 03:30:00;03.11.2023 03:44:59;0,036;;;
03.11.2023 03:45:00;03.11.2023 03:59:59;0,037;;;
03.11.2023 04:00:00;03.11.2023 04:14:59;0,03;;;
03.11.2023 04:15:00;03.11.2023 04:29:59;0,047;;;
03.11.2023 04:30:00;03.11.2023 04:44:59;0,038;;;
03.11.2023 04:45:00;03.11.2023 04:59:59;0,03;;;
03.11.2023 05:00:00;03.11.2023 05:14:59;0,043;;;
03.11.2023 05:15:00;03.11.2023 05:29:59;0,032;;;
03.11.2023 05:30:00;03.11.2023 05:44:59;0,039;;;
03.11.2023 05:45:00;03.11.2023 05:59:59;0,046;;;
03.11.2023 06:00:00;03.11.2023 06:14:59;0,029;;;
03.11.2023 06:15:00;03.11.2023 06:29:59;0,039;;;
03.11.2023 06:30:00;03.11.2023 06:44:59;0,037;;;
03.11.2023 06:45:00;03.11.2023 06:59:59;0,036;;;
03.11.2023 07:00:00;03.11.2023 07:14:59;0,046;;;
03.11.2023 07:15:00;03.11.2023 07:29:59;0,031;;;
03.11.2023 07:30:00;03.11.2023 07:44:59;0,03;;;
03.11.2023 07:45:00;03.11.2023 07:59:59;0,046;;;
03.11.2023 08:00:00;03.11.2023 08:14:59;0,045;;;
03.11.2023 08:15:00;03.11.2023 08:29:59;0,043;;;
03.11.2023 08:30:00;03.11.2023 08:44:59;0,039;;;
03.11.2023 08:45:00;03.11.2023 08:59:59;0,03;;;
