Ablesezeitpunkt;Zaehlerstand Gesamt - 1.8.0;Verbrauch Gesamt - 1.8.0;Status Gesamt - 1.8.0;Zaehlerstand Hochtarif - 1.8.1;Verbrauch Hochtarif - 1.8.1;Status Hochtarif - 1.8.1;Zaehlerstand Niedertarif - 1.8.2;Verbrauch Niedertarif - 1.8.2;Status Niedertarif - 1.8.2
2026-04-02T05:15:00.000+02:00;11861,096;0,029;VAL;;;;;;
2026-04-02T05:30:00.000+02:00;11861,119;0,023;VAL;;;;;;
2026-04-02T05:45:00.000+02:00;11861,147;0,028;VAL;;;;;;
2026-04-02T06:00:00.000+02:00;11861,17;0,023;VAL;;;;;;
2026-04-02T06:15:00.000+02:00;11861,201;0,031;VAL;;;;;;
2026-04-02T06:30:00.000+02:00;11861,231;0,03;VAL;;;;;;
2026-04-02T06:45:00.000+02:00;11861,251;0,02;VAL;;;;;;
2026-04-02T07:00:00.000+02:00;11861,29;0,039;VAL;;;;;;
2026-04-02T07:15:00.000+02:00;11861,306;0,016;VAL;;;;;;
2026-04-02T07:30:00.000+02:00;11861,343;0,037;VAL;;;;;;
2026-04-02T07:45:00.000+02:00;11861,37;0,027;VAL;;;;;;
2026-04-02T08:00:00.000+02:00;11861,396;0,026;VAL;;;;;;
2026-04-02T08:15:00.000+02:00;11861,438;0,042;VAL;;;;;;
2026-04-02T08:30:00.000+02:00;11861,455;0,017;VAL;;;;;;
2026-04-02T08:45:00.000+02:00;11861,479;0,024;VAL;;;;;;
2026-04-02T09:00:00.000+02:00;11861,503;0,024;VAL;;;;;;
2026-04-02T09:15:00.000+02:00;11861,523;0,02;VAL;;;;;;
2026-04-02T09:30:00.000+02:00;11861,533;0,01;VAL;;;;;;
2026-04-02T09:45:00.000+02:00;11861,541;0,008;VAL;;;;;;
2026-04-02T10:00:00.000+02:00;11861,545;0,004;VAL;;;;;;
2026-04-02T10:15:00.000+02:00;11861,552;0,007;VAL;;;;;;
2026-04-02T10:30:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T10:45:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T11:00:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T11:15:00.000+02:00;11861,552;;VAL;;;;;;
2026-04-02T11:30:00.000+02:00;11861,553;0,001;VAL;;;;;;
2026-04-02T11:45:00.000+02:00;11861,558;0,005;VAL;;;;;;
2026-04-02T12:00:00.000+02:00;11861,573;0,015;VAL;;;;;;
2026-04-02T12:15:00.000+02:00;11861,59;0,017;VAL;;;;;;
2026-04-02T12:30:00.000+02:00;11861,607;0,017;VAL;;;;;;
2026-04-02T12:45:00.000+02:00;11861,627;0,02;VAL;;;;;;
2026-04-02T13:00:00.000+02:00;11861,641;0,014;VAL;;;;;;
2026-04-02T13:15:00.000+02:00;11861,654;0,013;VAL;;;;;;
2026-04-02T13:30:00.000+02:00;11861,67;0,016;VAL;;;;;;
2026-04-02T13:45:00.000+02:00;11861,689;0,019;VAL;;;;;;
2026-04-02T14:00:00.000+02:00;11861,701;0,012;VAL;;;;;;
2026-04-02T14:15:00.000+02:00;11861,72;0,019;VAL;;;;;;
2026-04-02T14:30:00.000+02:00;11861,73;0,01;VAL;;;;;;
2026-04-02T14:45:00.000+02:00;11861,731;0,001;VAL;;;;;;
2026-04-02T15:00:00.000+02:00;11861,732;0,001;VAL;;;;;;
2026-04-02T15:15:00.000+02:00;11861,741;0,009;VAL;;;;;;
2026-04-02T15:30:00.000+02:00;11861,742;0,001;VAL;;;;;;
2026-04-02T15:45:00.000+02:00;11861,751;0,009;VAL;;;;;;
2026-04-02T16:00:00.000+02:00;11861,761;0,01;VAL;;;;;;
2026-04-02T16:15:00.000+02:00;11861,769;0,008;VAL;;;;;;
2026-04-02T16:30:00.000+02:00;11861,775;0,006;VAL;;;;;;
2026-04-02T16:45:00.000+02:00;11861,794;0,019;VAL;;;;;;
2026-04-02T17:00:00.000+02:00;11862;0,006;VAL;;;;;;
2026-04-02T17:15:00.000+02:00;11861,817;0,017;VAL;;;;;;
2026-04-02T17:30:00.000+02:00;11861,828;0,011;VAL;;;;;;
2026-04-02T17:45:00.000+02:00;11861,852;0,024;VAL;;;;;;
2026-04-02T18:00:00.000+02:00;11861,87;0,018;VAL;;;;;;
2026-04-02T18:15:00.000+02:00;11861,889;0,019;VAL;;;;;;
2026-04-02T18:30:00.000+02:00;11861,918;0,029;VAL;;;;;;
2026-04-02T18:45:00.000+02:00;11861,942;0,024;VAL;;;;;;
2026-04-02T19:00:00.000+02:00;11861,963;0,021;VAL;;;;;;
2026-04-02T19:15:00.000+02:00;11861,996;0,033;VAL;;;;;;
2026-04-02T19:30:00.000+02:00;11862,014;0,018;VAL;;;;;;
2026-04-02T19:45:00.000+02:00;11862,046;0,032;VAL;;;;;;
2026-04-02T20:00:00.000+02:00;11862,074;0,028;VAL;;;;;;
2026-04-02T20:15:00.000+02:00;11862,096;0,022;VAL;;;;;;
2026-04-02T20:30:00.000+02:00;11862,131;0,035;VAL;;;;;;
2026-04-02T20:45:00.000+02:00;11862,152;0,021;VAL;;;;;;
2026-04-02T21:00:00.000+02:00;11862,181;0,029;VAL;;;;;;
2026-04-02T21:15:00.000+02:00;11862,206;0,025;VAL;;;;;;
2026-04-02T21:30:00.000+02:00;11862,231;0,025;VAL;;;;;;
2026-04-02T21:45:00.000+02:00;11862,26;0,029;VAL;;;;;;
2026-04-02T22:00:00.000+02:00;11862,288;0,028;VAL;;;;;;
2026-04-02T22:15:00.000+02:00;11862,314;0,026;VAL;;;;;;
2026-04-02T22:30:00.000+02:00;11862,344;0,03;VAL;;;;;;
2026-04-02T22:45:00.000+02:00;11862,37;0,026;VAL;;;;;;
2026-04-02T23:00:00.000+02:00;11862,39;0,02;VAL;;;;;;
2026-04-02T23:15:00.000+02:00;11862,423;0,033;VAL;;;;;;
2026-04-02T23:30:00.000+02:00;11862,446;0,023;VAL;;;;;;
2026-04-02T23:45:00.000+02:00;11862,513;0,067;VAL;;;;;;
2026-04-03T00:00:00.000+02:00;11862,55;0,037;VAL;;;;;;
2026-04-03T00:15:00.000+02:00;11862,584;0,034;VAL;;;;;;
2026-04-03T00:30:00.000+02:00;11862,619;0,035;VAL;;;;;;
2026-04-03T00:45:00.000+02:00;11862,641;0,022;VAL;;;;;;
2026-04-03T01:00:00.000+02:00;11862,678;0,037;VAL;;;;;;
2026-04-03T01:15:00.000+02:00;11862,699;0,021;VAL;;;;;;
2026-04-03T01:30:00.000+02:00;11862,73;0,031;VAL;;;;;;
2026-04-03T01:45:00.000+02:00;11862,758;0,028;VAL;;;;;;
2026-04-03T02:00:00.000+02:00;11862,787;0,029;VAL;;;;;;
2026-04-03T02:15:00.000+02:00;11862,814;0,027;VAL;;;;;;
2026-04-03T02:30:00.000+02:00;11862,844;0,03;VAL;;;;;;
2026-04-03T02:45:00.000+02:00;11862,869;0,025;VAL;;;;;;
2026-04-03T03:00:00.000+02:00;11862,905;0,036;VAL;;;;;;
2026-04-03T03:15:00.000+02:00;11862,932;0,027;VAL;;;;;;
2026-04-03T03:30:00.000+02:00;11862,96;0,028;VAL;;;;;;
2026-04-03T03:45:00.000+02:00;11862,989;0,029;VAL;;;;;;
2026-04-03T04:00:00.000+02:00;11863,012;0,023;VAL;;;;;;
2026-04-03T04:15:00.000+02:00;11863,048;0,036;VAL;;;;;;
2026-04-03T04:30:00.000+02:00;11863,068;0,02;VAL;;;;;;
2026-04-03T04:45:00.000+02:00;11863,093;0,025;VAL;;;;;;
2026-04-03T05:00:00.000+02:00;11863,126;0,033;VAL;;;;;;
2026-04-03T05:15:00.000+02:00;11863,147;0,021;VAL;;;;;;
2026-04-03T05:30:00.000+02:00;11863,175;0,028;VAL;;;;;;
2026-04-03T05:45:00.000+02:00;11863,194;0,019;VAL;;;;;;
2026-04-03T06:00:00.000+02:00;11863,222;0,028;VAL;;;;;;
2026-04-03T06:15:00.000+02:00;11863,244;0,022;VAL;;;;;;
2026-04-03T06:30:00.000+02:00;11863,27;0,026;VAL;;;;;;
2026-04-03T06:45:00.000+02:00;11863;0,03;VAL;;;;;;
2026-04-03T07:00:00.000+02:00;11863,331;0,031;VAL;;;;;;
2026-04-03T07:15:00.000+02:00;11863,352;0,021;VAL;;;;;;
2026-04-03T07:30:00.000+02:00;11863,385;0,033;VAL;;;;;;
2026-04-03T07:45:00.000+02:00;11863,416;0,031;VAL;;;;;;
2026-04-03T08:00:00.000+02:00;11863,438;0,022;VAL;;;;;;
2026-04-03T08:15:00.000+02:00;11863,454;0,016;VAL;;;;;;
2026-04-03T08:30:00.000+02:00;11863,455;0,001;VAL;;;;;;
2026-04-03T08:45:00.000+02:00;11863,465;0,01;VAL;;;;;;
2026-04-03T09:00:00.000+02:00;11863,469;0,004;VAL;;;;;;
2026-04-03T09:15:00.000+02:00;11863,47;0,001;VAL;;;;;;
2026-04-03T09:30:00.000+02:00;11863,47;;VAL;;;;;;
2026-04-03T09:45:00.000+02:00;11863,47;;VAL;;;;;;
2026-04-03T10:00:00.000+02:00;11863,472;0,002;VAL;;;;;;
2026-04-03T10:15:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T10:30:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T10:45:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T11:00:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T11:15:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T11:30:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T11:45:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T12:00:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T12:15:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T12:30:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T12:45:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T13:00:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T13:15:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T13:30:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T13:45:00.000+02:00;11863,472;;VAL;;;;;;
2026-04-03T14:00:00.000+02:00;11863,473;0,001;VAL;;;;;;
2026-04-03T14:15:00.000+02:00;11863,473;;VAL;;;;;;
2026-04-03T14:30:00.000+02:00;11863,473;;VAL;;;;;;
2026-04-03T14:45:00.000+02:00;11863,473;;VAL;;;;;;
2026-04-03T15:00:00.000+02:00;11863,473;;VAL;;;;;;
2026-04-03T15:15:00.000+02:00;11863,67;0,197;VAL;;;;;;
2026-04-03T15:30:00.000+02:00;11863,76;0,09;VAL;;;;;;
2026-04-03T15:45:00.000+02:00;11863,763;0,003;VAL;;;;;;
2026-04-03T16:00:00.000+02:00;11863,769;0,006;VAL;;;;;;
2026-04-03T16:15:00.000+02:00;11863,769;;VAL;;;;;;
2026-04-03T16:30:00.000+02:00;11864,145;0,376;VAL;;;;;;
2026-04-03T16:45:00.000+02:00;11864,145;;VAL;;;;;;
2026-04-03T17:00:00.000+02:00;11864,145;;VAL;;;;;;
2026-04-03T17:15:00.000+02:00;11864,153;0,008;VAL;;;;;;
2026-04-03T17:30:00.000+02:00;11864,165;0,012;VAL;;;;;;
2026-04-03T17:45:00.000+02:00;11864,187;0,022;VAL;;;;;;
2026-04-03T18:00:00.000+02:00;11864,211;0,024;VAL;;;;;;
2026-04-03T18:15:00.000+02:00;11864,242;0,031;VAL;;;;;;
2026-04-03T18:30:00.000+02:00;11864,28;0,038;VAL;;;;;;
2026-04-03T18:45:00.000+02:00;11864,308;0,028;VAL;;;;;;
2026-04-03T19:00:00.000+02:00;11864,344;0,036;VAL;;;;;;
2026-04-03T19:15:00.000+02:00;11864,802;0,458;VAL;;;;;;
2026-04-03T19:30:00.000+02:00;11865,147;0,345;VAL;;;;;;
2026-04-03T19:45:00.000+02:00;11865,456;0,309;VAL;;;;;;
2026-04-03T20:00:00.000+02:00;11865,708;0,252;VAL;;;;;;
2026-04-03T20:15:00.000+02:00;11865,81;0,102;VAL;;;;;;
2026-04-03T20:30:00.000+02:00;11865,965;0,155;VAL;;;;;;
2026-04-03T20:45:00.000+02:00;11866,273;0,308;VAL;;;;;;
2026-04-03T21:00:00.000+02:00;11866,543;0,27;VAL;;;;;;
2026-04-03T21:15:00.000+02:00;11866,576;0,033;VAL;;;;;;
2026-04-03T21:30:00.000+02:00;11867;0,024;VAL;;;;;;
2026-04-03T21:45:00.000+02:00;11866,618;0,018;VAL;;;;;;
2026-04-03T22:00:00.000+02:00;11866,654;0,036;VAL;;;;;;
2026-04-03T22:15:00.000+02:00;11866,675;0,021;VAL;;;;;;
2026-04-03T22:30:00.000+02:00;11866,703;0,028;VAL;;;;;;
2026-04-03T22:45:00.000+02:00;11866,747;0,044;VAL;;;;;;
2026-04-03T23:00:00.000+02:00;11866,845;0,098;VAL;;;;;;
2026-04-03T23:15:00.000+02:00;11867,128;0,283;VAL;;;;;;
2026-04-03T23:30:00.000+02:00;11867,332;0,204;VAL;;;;;;
2026-04-03T23:45:00.000+02:00;11867,441;0,109;VAL;;;;;;
2026-04-04T00:00:00.000+02:00;11867,535;0,094;VAL;;;;;;
2026-04-04T00:15:00.000+02:00;11867,566;0,031;VAL;;;;;;
