"Datum","AT0051000602000000000000000000000 ab 21.02.2024 00:30"
"25.02.2024 19:45","0.172"
"25.02.2024 20:00","0.057"
"25.02.2024 20:15","0.106"
"25.02.2024 20:30","0.058"
"25.02.2024 20:45","0.05"
"25.02.2024 21:00","0.039"
"25.02.2024 21:15","0.036"
"25.02.2024 21:30","0.031"
"25.02.2024 21:45","0.031"
"25.02.2024 22:00","0.034"
"25.02.2024 22:15","0.03"
"25.02.2024 22:30","0.03"
"25.02.2024 22:45","0.033"
"25.02.2024 23:00","0.011"
"25.02.2024 23:15","0.013"
"25.02.2024 23:30","0.01"
"25.02.2024 23:45","0.009"
"26.02.2024 00:00","0.015"
"26.02.2024 00:15","0.018"
"26.02.2024 00:30","0.02"
"26.02.2024 00:45","0.022"
"26.02.2024 01:00","0.029"
"26.02.2024 01:15","0.04"
"26.02.2024 01:30","0.029"
"26.02.2024 01:45","0.026"
"26.02.2024 02:00","0.041"
"26.02.2024 02:15","0.027"
"26.02.2024 02:30","0.024"
"26.02.2024 02:45","0.02"
"26.02.2024 03:00","0.009"
"26.02.2024 03:15","0.011"
"26.02.2024 03:30","0.02"
"26.02.2024 03:45","0.009"
"26.02.2024 04:00","0.013"
"26.02.2024 04:15","0.017"
"26.02.2024 04:30","0.019"
"26.02.2024 04:45","0.035"
"26.02.2024 05:00","0.036"
"26.02.2024 05:15","0.029"
"26.02.2024 05:30","0.03"
"26.02.2024 05:45","0.028"
"26.02.2024 06:00","0.032"
"26.02.2024 06:15","0.02"
"26.02.2024 06:30","0.008"
"26.02.2024 06:45","0.012"
"26.02.2024 07:00","0.006"
"26.02.2024 07:15","0.045"
"26.02.2024 07:30","0.087"
"26.02.2024 07:45","0.038"
"26.02.2024 08:00","0.014"
"26.02.2024 08:15","0.027"
"26.02.2024 08:30","0.028"
"26.02.2024 08:45","0.032"
"26.02.2024 09:00","0.025"
"26.02.2024 09:15","0.028"
"26.02.2024 09:30","0.028"
"26.02.2024 09:45","0.012"
"26.02.2024 10:00","0.011"
"26.02.2024 10:15","0.008"
"26.02.2024 10:30","0.008"
"26.02.2024 10:45","0.012"
"26.02.2024 11:00","0.007"
"26.02.2024 11:15","0.009"
"26.02.2024 11:30","0.01"
"26.02.2024 11:45","0.025"
"26.02.2024 12:00","0.035"
"26.02.2024 12:15","0.028"
"26.02.2024 12:30","0.026"
"26.02.2024 12:45","0.036"
"26.02.2024 13:00","0.027"
"26.02.2024 13:15","0.055"
"26.02.2024 13:30","0.317"
"26.02.2024 13:45","0.515"
"26.02.2024 14:00","0.046"
"26.02.2024 14:15","0.236"
"26.02.2024 14:30","0.811"
"26.02.2024 14:45","0.709"
"26.02.2024 15:00","0.02"
"26.02.2024 15:15","0.008"
"26.02.2024 15:30","0.019"
"26.02.2024 15:45","0.027"
"26.02.2024 16:00","0.029"
"26.02.2024 16:15","0.029"
"26.02.2024 16:30","0.024"
"26.02.2024 16:45","0.029"
"26.02.2024 17:00","0.026"
"26.02.2024 17:15","0.022"
"26.02.2024 17:30","0.294"
"26.02.2024 17:45","0.086"
"26.02.2024 18:00","0.066"
"26.02.2024 18:15","0.064"
"26.02.2024 18:30","0.031"
"26.02.2024 18:45","0.024"
"26.02.2024 19:00","0.036"
"26.02.2024 19:15","0.032"
"26.02.2024 19:30","0.038"
"26.02.2024 19:45","0.041"
"26.02.2024 20:00","0.034"
"26.02.2024 20:15","0.051"
