sep=;
Anlagennummer;Zaehlpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;01.07.2023 21:15;01.07.2023 21:30;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 21:30;01.07.2023 21:45;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 21:45;01.07.2023 22:00;0,054;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 22:00;01.07.2023 22:15;0,095;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 22:15;01.07.2023 22:30;0,243;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 22:30;01.07.2023 22:45;0,254;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 22:45;01.07.2023 23:00;0,375;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 23:00;01.07.2023 23:15;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 23:15;01.07.2023 23:30;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 23:30;01.07.2023 23:45;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 23:45;02.07.2023 00:00;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 00:00;02.07.2023 00:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 00:15;02.07.2023 00:30;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 00:30;02.07.2023 00:45;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 00:45;02.07.2023 01:00;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 01:00;02.07.2023 01:15;0,025;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 01:15;02.07.2023 01:30;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 01:30;02.07.2023 01:45;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 01:45;02.07.2023 02:00;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 02:00;02.07.2023 02:15;0,029;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 02:15;02.07.2023 02:30;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 02:30;02.07.2023 02:45;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 02:45;02.07.2023 03:00;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 03:00;02.07.2023 03:15;0,014;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 03:15;02.07.2023 03:30;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 03:30;02.07.2023 03:45;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 03:45;02.07.2023 04:00;0,02;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 04:00;02.07.2023 04:15;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 04:15;02.07.2023 04:30;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 04:30;02.07.2023 04:45;0,028;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 04:45;02.07.2023 05:00;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 05:00;02.07.2023 05:15;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 05:15;02.07.2023 05:30;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 05:30;02.07.2023 05:45;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 05:45;02.07.2023 06:00;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 06:00;02.07.2023 06:15;0,021;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 06:15;02.07.2023 06:30;0,02;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 06:30;02.07.2023 06:45;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 06:45;02.07.2023 07:00;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 07:00;02.07.2023 07:15;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 07:15;02.07.2023 07:30;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 07:30;02.07.2023 07:45;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 07:45;02.07.2023 08:00;0,029;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 08:00;02.07.2023 08:15;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 08:15;02.07.2023 08:30;0,079;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 08:30;02.07.2023 08:45;0,253;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 08:45;02.07.2023 09:00;0,022;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 09:00;02.07.2023 09:15;0,024;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 09:15;02.07.2023 09:30;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 09:30;02.07.2023 09:45;0,043;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 09:45;02.07.2023 10:00;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 10:00;02.07.2023 10:15;0,014;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 10:15;02.07.2023 10:30;0,065;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 10:30;02.07.2023 10:45;0,052;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 10:45;02.07.2023 11:00;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 11:00;02.07.2023 11:15;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 11:15;02.07.2023 11:30;0,036;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 11:30;02.07.2023 11:45;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 11:45;02.07.2023 12:00;0,021;KWH;VAL
