Startdatum;Enddatum;Zählpunktbezeichnung;Name der Energiegemeinschaft;ID der Energiegemeinschaft;OBIS;OBIS Kurzbeschreibung;Wert;Einheit;Qualität;Qualität Beschreibung
01.09.2025 13:00;01.09.2025 13:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
01.09.2025 13:15;01.09.2025 13:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,157;kWh;L1;Echtwert gemessen
01.09.2025 13:30;01.09.2025 13:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,155;kWh;L1;Echtwert gemessen
01.09.2025 13:45;01.09.2025 14:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
01.09.2025 14:00;01.09.2025 14:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,159;kWh;L1;Echtwert gemessen
01.09.2025 14:15;01.09.2025 14:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
01.09.2025 14:30;01.09.2025 14:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,288;kWh;L1;Echtwert gemessen
01.09.2025 14:45;01.09.2025 15:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,15;kWh;L1;Echtwert gemessen
01.09.2025 15:00;01.09.2025 15:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,15;kWh;L1;Echtwert gemessen
01.09.2025 15:15;01.09.2025 15:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,154;kWh;L1;Echtwert gemessen
01.09.2025 15:30;01.09.2025 15:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,148;kWh;L1;Echtwert gemessen
01.09.2025 15:45;01.09.2025 16:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,15;kWh;L1;Echtwert gemessen
01.09.2025 16:00;01.09.2025 16:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,151;kWh;L1;Echtwert gemessen
01.09.2025 16:15;01.09.2025 16:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,149;kWh;L1;Echtwert gemessen
01.09.2025 16:30;01.09.2025 16:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,153;kWh;L1;Echtwert gemessen
