Messzeitpunkt;Gemessener Verbrauch (kWh);Ersatzwert;
06.01.2023 14:30;0,000;;
06.01.2023 14:45;0,000;;
06.01.2023 15:00;0,141;;
06.01.2023 15:15;0,425;;
06.01.2023 15:30;0,044;;
06.01.2023 15:45;0,037;;
06.01.2023 16:00;0,055;;
06.01.2023 16:15;0,084;;
06.01.2023 16:30;0,112;;
06.01.2023 16:45;0,101;;
06.01.2023 17:00;0,117;;
06.01.2023 17:15;0,109;;
06.01.2023 17:30;0,197;;
06.01.2023 17:45;0,434;;
06.01.2023 18:00;0,341;;
06.01.2023 18:15;0,116;;
06.01.2023 18:30;0,097;;
06.01.2023 18:45;0,096;;
06.01.2023 19:00;0,143;;
06.01.2023 19:15;0,148;;
06.01.2023 19:30;0,140;;
06.01.2023 19:45;0,161;;
06.01.2023 20:00;0,132;;
06.01.2023 20:15;0,294;;
06.01.2023 20:30;0,104;;
06.01.2023 20:45;0,263;;
06.01.2023 21:00;0,243;;
06.01.2023 21:15;0,156;;
06.01.2023 21:30;0,136;;
06.01.2023 21:45;0,114;;
06.01.2023 22:00;0,092;;
06.01.2023 22:15;0,099;;
06.01.2023 22:30;0,145;;
06.01.2023 22:45;0,109;;
06.01.2023 23:00;0,098;;
06.01.2023 23:15;0,101;;
06.01.2023 23:30;0,110;;
06.01.2023 23:45;0,086;;
07.01.2023 00:00;0,097;;
07.01.2023 00:15;0,095;;
07.01.2023 00:30;0,081;;
07.01.2023 00:45;0,107;;
07.01.2023 01:00;0,121;;
07.01.2023 01:15;0,090;;
07.01.2023 01:30;0,059;;
07.01.2023 01:45;0,092;;
07.01.2023 02:00;0,092;;
07.01.2023 02:15;0,794;;
07.01.2023 02:30;0,859;;
07.01.2023 02:45;0,885;;
07.01.2023 03:00;0,875;;
07.01.2023 03:15;0,112;;
07.01.2023 03:30;0,094;;
07.01.2023 03:45;0,061;;
07.01.2023 04:00;0,071;;
07.01.2023 04:15;0,101;;
07.01.2023 04:30;0,109;;
07.01.2023 04:45;0,078;;
07.01.2023 05:00;0,078;;
07.01.2023 05:15;0,101;;
07.01.2023 05:30;0,077;;
07.01.2023 05:45;0,076;;
07.01.2023 06:00;0,074;;
07.01.2023 06:15;0,099;;
07.01.2023 06:30;0,084;;
07.01.2023 06:45;0,103;;
07.01.2023 07:00;0,104;;
07.01.2023 07:15;0,062;;
07.01.2023 07:30;0,069;;
07.01.2023 07:45;0,092;;
07.01.2023 08:00;0,095;;
07.01.2023 08:15;0,067;;
07.01.2023 08:30;0,033;;
07.01.2023 08:45;0,038;;
07.01.2023 09:00;0,114;;
07.01.2023 09:15;0,117;;
07.01.2023 09:30;0,022;;
07.01.2023 09:45;0,001;;
07.01.2023 10:00;0,000;;
07.01.2023 10:15;0,000;;
07.01.2023 10:30;0,000;;
07.01.2023 10:45;0,000;;
07.01.2023 11:00;0,000;;
07.01.2023 11:15;0,000;;
07.01.2023 11:30;0,000;;
07.01.2023 11:45;0,000;;
07.01.2023 12:00;0,000;;
07.01.2023 12:15;0,000;;
07.01.2023 12:30;0,000;;
07.01.2023 12:45;0,000;;
07.01.2023 13:00;0,000;;
07.01.2023 13:15;0,017;;
07.01.2023 13:30;0,109;;
07.01.2023 13:45;0,129;;
07.01.2023 14:00;0,117;;
07.01.2023 14:15;0,038;;
07.01.2023 14:30;0,000;;
07.01.2023 14:45;0,000;;
07.01.2023 15:00;0,000;;
07.01.2023 15:15;0,029;;
07.01.2023 15:30;0,005;;
07.01.2023 15:45;0,000;;
07.01.2023 16:00;0,014;;
07.01.2023 16:15;0,068;;
07.01.2023 16:30;0,147;;
07.01.2023 16:45;0,079;;
07.01.2023 17:00;0,133;;
07.01.2023 17:15;0,113;;
07.01.2023 17:30;0,120;;
07.01.2023 17:45;0,144;;
07.01.2023 18:00;0,108;;
07.01.2023 18:15;0,240;;
07.01.2023 18:30;0,126;;
07.01.2023 18:45;0,131;;
07.01.2023 19:00;0,108;;
07.01.2023 19:15;0,135;;
07.01.2023 19:30;0,174;;
07.01.2023 19:45;0,124;;
07.01.2023 20:00;0,114;;
07.01.2023 20:15;0,163;;
07.01.2023 20:30;0,172;;
07.01.2023 20:45;0,113;;
07.01.2023 21:00;0,103;;
07.01.2023 21:15;0,146;;
07.01.2023 21:30;0,099;;
07.01.2023 21:45;0,122;;
07.01.2023 22:00;0,131;;
07.01.2023 22:15;0,092;;
07.01.2023 22:30;0,078;;
07.01.2023 22:45;0,091;;
07.01.2023 23:00;0,101;;
07.01.2023 23:15;0,099;;
07.01.2023 23:30;0,114;;
07.01.2023 23:45;0,106;;
08.01.2023 00:00;0,082;;
08.01.2023 00:15;0,075;;
08.01.2023 00:30;0,114;;
08.01.2023 00:45;0,088;;
08.01.2023 01:00;0,077;;
08.01.2023 01:15;0,107;;
08.01.2023 01:30;0,089;;
08.01.2023 01:45;0,479;;
08.01.2023 02:00;0,102;;
08.01.2023 02:15;0,846;;
08.01.2023 02:30;0,851;;
08.01.2023 02:45;1,180;;
08.01.2023 03:00;1,229;;
08.01.2023 03:15;0,892;;
08.01.2023 03:30;1,096;;
08.01.2023 03:45;1,307;;
08.01.2023 04:00;0,917;;
08.01.2023 04:15;0,851;;
08.01.2023 04:30;0,885;;
08.01.2023 04:45;0,896;;
08.01.2023 05:00;0,871;;
08.01.2023 05:15;0,153;;
08.01.2023 05:30;0,099;;
08.01.2023 05:45;0,080;;
08.01.2023 06:00;0,075;;
08.01.2023 06:15;0,097;;
08.01.2023 06:30;0,070;;
08.01.2023 06:45;0,071;;
08.01.2023 07:00;0,091;;
08.01.2023 07:15;0,105;;
08.01.2023 07:30;0,100;;
08.01.2023 07:45;0,062;;
08.01.2023 08:00;0,097;;
08.01.2023 08:15;0,065;;
08.01.2023 08:30;0,108;;
08.01.2023 08:45;0,187;;
08.01.2023 09:00;0,101;;
08.01.2023 09:15;0,252;;
08.01.2023 09:30;0,406;;
08.01.2023 09:45;0,094;;
08.01.2023 10:00;0,083;;
08.01.2023 10:15;0,123;;
08.01.2023 10:30;0,063;;
08.01.2023 10:45;0,283;;
08.01.2023 11:00;0,055;;
08.01.2023 11:15;0,037;;
08.01.2023 11:30;0,044;;
