Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
02.10.2023 02:15:00;02.10.2023 02:29:59;0,04;;;
02.10.2023 02:30:00;02.10.2023 02:44:59;0,046;;;
02.10.2023 02:45:00;02.10.2023 02:59:59;0,048;;;
02.10.2023 03:00:00;02.10.2023 03:14:59;0,037;;;
02.10.2023 03:15:00;02.10.2023 03:29:59;0,042;;;
02.10.2023 03:30:00;02.10.2023 03:44:59;0,038;;;
02.10.2023 03:45:00;02.10.2023 03:59:59;0,045;;;
02.10.2023 04:00:00;02.10.2023 04:14:59;0,049;;;
02.10.2023 04:15:00;02.10.2023 04:29:59;0,04;;;
02.10.2023 04:30:00;02.10.2023 04:44:59;0,042;;;
02.10.2023 04:45:00;02.10.2023 04:59:59;0,039;;;
02.10.2023 05:00:00;02.10.2023 05:14:59;0,042;;;
02.10.2023 05:15:00;02.10.2023 05:29:59;0,051;;;
02.10.2023 05:30:00;02.10.2023 05:44:59;0,04;;;
02.10.2023 05:45:00;02.10.2023 05:59:59;0,046;;;
02.10.2023 06:00:00;02.10.2023 06:14:59;0,034;;;
02.10.2023 06:15:00;02.10.2023 06:29:59;0,042;;;
02.10.2023 06:30:00;02.10.2023 06:44:59;0,18;;;
02.10.2023 06:45:00;02.10.2023 06:59:59;0,13;;;
02.10.2023 07:00:00;02.10.2023 07:14:59;0,106;;;
02.10.2023 07:15:00;02.10.2023 07:29:59;0,106;;;
02.10.2023 07:30:00;02.10.2023 07:44:59;0,101;;;
02.10.2023 07:45:00;02.10.2023 07:59:59;0,076;;;
02.10.2023 08:00:00;02.10.2023 08:14:59;0,062;;;
02.10.2023 08:15:00;02.10.2023 08:29:59;0,067;;;
02.10.2023 08:30:00;02.10.2023 08:44:59;0,055;;;
02.10.2023 08:45:00;02.10.2023 08:59:59;0,049;;;
02.10.2023 09:00:00;02.10.2023 09:14:59;0,042;;;
02.10.2023 09:15:00;02.10.2023 09:29:59;0;;;
02.10.2023 09:30:00;02.10.2023 09:44:59;0,001;;;
02.10.2023 09:45:00;02.10.2023 09:59:59;0;;;
02.10.2023 10:00:00;02.10.2023 10:14:59;0;;;
02.10.2023 10:15:00;02.10.2023 10:29:59;0,222;;;
02.10.2023 10:30:00;02.10.2023 10:44:59;0,376;;;
02.10.2023 10:45:00;02.10.2023 10:59:59;0,115;;;
02.10.2023 11:00:00;02.10.2023 11:14:59;0,011;;;
02.10.2023 11:15:00;02.10.2023 11:29:59;0,012;;;
02.10.2023 11:30:00;02.10.2023 11:44:59;0,006;;;
02.10.2023 11:45:00;02.10.2023 11:59:59;0,011;;;
02.10.2023 12:00:00;02.10.2023 12:14:59;0,009;;;
02.10.2023 12:15:00;02.10.2023 12:29:59;0,016;;;
02.10.2023 12:30:00;02.10.2023 12:44:59;0,005;;;
02.10.2023 12:45:00;02.10.2023 12:59:59;0,002;;;
02.10.2023 13:00:00;02.10.2023 13:14:59;0,386;;;
02.10.2023 13:15:00;02.10.2023 13:29:59;0,542;;;
02.10.2023 13:30:00;02.10.2023 13:44:59;0,242;;;
02.10.2023 13:45:00;02.10.2023 13:59:59;0,008;;;
02.10.2023 14:00:00;02.10.2023 14:14:59;0,011;;;
02.10.2023 14:15:00;02.10.2023 14:29:59;0,002;;;
02.10.2023 14:30:00;02.10.2023 14:44:59;0,002;;;
02.10.2023 14:45:00;02.10.2023 14:59:59;0,273;;;
02.10.2023 15:00:00;02.10.2023 15:14:59;0,102;;;
