"Datum und Uhrzeit";"Lastgänge (306,499 kWh)";"Status"
"2023-06-10 10:45:00";0;"Wert ist gültig"
"2023-06-10 11:00:00";0;"Wert ist gültig"
"2023-06-10 11:15:00";0;"Wert ist gültig"
"2023-06-10 11:30:00";0;"Wert ist gültig"
"2023-06-10 11:45:00";0;"Wert ist gültig"
"2023-06-10 12:00:00";0;"Wert ist gültig"
"2023-06-10 12:15:00";0;"Wert ist gültig"
"2023-06-10 12:30:00";0;"Wert ist gültig"
"2023-06-10 12:45:00";0;"Wert ist gültig"
"2023-06-10 13:00:00";0;"Wert ist gültig"
"2023-06-10 13:15:00";0;"Wert ist gültig"
"2023-06-10 13:30:00";0;"Wert ist gültig"
"2023-06-10 13:45:00";0;"Wert ist gültig"
"2023-06-10 14:00:00";0;"Wert ist gültig"
"2023-06-10 14:15:00";0;"Wert ist gültig"
"2023-06-10 14:30:00";0;"Wert ist gültig"
"2023-06-10 14:45:00";0;"Wert ist gültig"
"2023-06-10 15:00:00";0;"Wert ist gültig"
"2023-06-10 15:15:00";0;"Wert ist gültig"
"2023-06-10 15:30:00";0;"Wert ist gültig"
"2023-06-10 15:45:00";0;"Wert ist gültig"
"2023-06-10 16:00:00";0;"Wert ist gültig"
"2023-06-10 16:15:00";0;"Wert ist gültig"
"2023-06-10 16:30:00";0;"Wert ist gültig"
"2023-06-10 16:45:00";0;"Wert ist gültig"
"2023-06-10 17:00:00";0;"Wert ist gültig"
"2023-06-10 17:15:00";0;"Wert ist gültig"
"2023-06-10 17:30:00";0;"Wert ist gültig"
"2023-06-10 17:45:00";0;"Wert ist gültig"
"2023-06-10 18:00:00";0.005;"Wert ist gültig"
"2023-06-10 18:15:00";0.103;"Wert ist gültig"
"2023-06-10 18:30:00";0.232;"Wert ist gültig"
"2023-06-10 18:45:00";0.144;"Wert ist gültig"
"2023-06-10 19:00:00";0;"Wert ist gültig"
"2023-06-10 19:15:00";0;"Wert ist gültig"
"2023-06-10 19:30:00";0;"Wert ist gültig"
"2023-06-10 19:45:00";0.241;"Wert ist gültig"
"2023-06-10 20:00:00";0.616;"Wert ist gültig"
"2023-06-10 20:15:00";0.055;"Wert ist gültig"
"2023-06-10 20:30:00";0.056;"Wert ist gültig"
"2023-06-10 20:45:00";0.078;"Wert ist gültig"
"2023-06-10 21:00:00";0.096;"Wert ist gültig"
"2023-06-10 21:15:00";0.089;"Wert ist gültig"
"2023-06-10 21:30:00";0.102;"Wert ist gültig"
"2023-06-10 21:45:00";0.07;"Wert ist gültig"
"2023-06-10 22:00:00";0.055;"Wert ist gültig"
"2023-06-10 22:15:00";0.064;"Wert ist gültig"
"2023-06-10 22:30:00";0.05;"Wert ist gültig"
"2023-06-10 22:45:00";0.042;"Wert ist gültig"
"2023-06-10 23:00:00";0.038;"Wert ist gültig"
"2023-06-10 23:15:00";0.044;"Wert ist gültig"
"2023-06-10 23:30:00";0.04;"Wert ist gültig"
"2023-06-10 23:45:00";0.061;"Wert ist gültig"
"2023-06-11 00:00:00";0.091;"Wert ist gültig"
"2023-06-11 00:15:00";0.058;"Wert ist gültig"
"2023-06-11 00:30:00";0.057;"Wert ist gültig"
"2023-06-11 00:45:00";0.074;"Wert ist gültig"
"2023-06-11 01:00:00";0.069;"Wert ist gültig"
"2023-06-11 01:15:00";0.042;"Wert ist gültig"
"2023-06-11 01:30:00";0.053;"Wert ist gültig"
"2023-06-11 01:45:00";0.059;"Wert ist gültig"
"2023-06-11 02:00:00";0.037;"Wert ist gültig"
"2023-06-11 02:15:00";0.034;"Wert ist gültig"
"2023-06-11 02:30:00";0.051;"Wert ist gültig"
"2023-06-11 02:45:00";0.034;"Wert ist gültig"
"2023-06-11 03:00:00";0.205;"Wert ist gültig"
"2023-06-11 03:15:00";0.247;"Wert ist gültig"
"2023-06-11 03:30:00";0.26;"Wert ist gültig"
"2023-06-11 03:45:00";0.231;"Wert ist gültig"
"2023-06-11 04:00:00";0.055;"Wert ist gültig"
"2023-06-11 04:15:00";0.066;"Wert ist gültig"
"2023-06-11 04:30:00";0.047;"Wert ist gültig"
"2023-06-11 04:45:00";0.036;"Wert ist gültig"
"2023-06-11 05:00:00";0.044;"Wert ist gültig"
"2023-06-11 05:15:00";0.057;"Wert ist gültig"
"2023-06-11 05:30:00";0.029;"Wert ist gültig"
"2023-06-11 05:45:00";0.001;"Wert ist gültig"
"2023-06-11 06:00:00";0;"Wert ist gültig"
"2023-06-11 06:15:00";0;"Wert ist gültig"
"2023-06-11 06:30:00";0.092;"Wert ist gültig"
"2023-06-11 06:45:00";0.156;"Wert ist gültig"
"2023-06-11 07:00:00";0.007;"Wert ist gültig"
"2023-06-11 07:15:00";0.001;"Wert ist gültig"
"2023-06-11 07:30:00";0;"Wert ist gültig"
"2023-06-11 07:45:00";0;"Wert ist gültig"
"2023-06-11 08:00:00";0;"Wert ist gültig"
"2023-06-11 08:15:00";0;"Wert ist gültig"
"2023-06-11 08:30:00";0;"Wert ist gültig"
"2023-06-11 08:45:00";0;"Wert ist gültig"
"2023-06-11 09:00:00";0;"Wert ist gültig"
"2023-06-11 09:15:00";0;"Wert ist gültig"
"2023-06-11 09:30:00";0;"Wert ist gültig"
"2023-06-11 09:45:00";0.008;"Wert ist gültig"
"2023-06-11 10:00:00";0.003;"Wert ist gültig"
"2023-06-11 10:15:00";0;"Wert ist gültig"
"2023-06-11 10:30:00";0;"Wert ist gültig"
"2023-06-11 10:45:00";0;"Wert ist gültig"
"2023-06-11 11:00:00";0;"Wert ist gültig"
